"date_mensuelle","annee","mois","conso_mensuelle","temp_moy","trend_chauffage","trend_canicule","trend_clim","covid"
2016-01-01,2016,1,15597377,6.25,46,0.5,14,0
2016-02-01,2016,2,14249343,6.9,36,1,15,0
2016-03-01,2016,3,14517171,7.65,33,1,17,0
2016-04-01,2016,4,11901363,10.95,26,1,20,0
2016-05-01,2016,5,10545359,15.45,23,1,26,0
2016-06-01,2016,6,9892004,18.3,21,2,34,0
2016-07-01,2016,7,9514029,21.2,19,7,46,0
2016-08-01,2016,8,8898940,21.8,22,15,38,0
2016-09-01,2016,9,9641433,19.55,29,1,23,0
2016-10-01,2016,10,11755693,12.3,67,0.5,15,0
2016-11-01,2016,11,13725466,8.45,56,0.5,13,0
2016-12-01,2016,12,15809878,5.4,52,0.5,14,0
2017-01-01,2017,1,17785746,2.95,68,1,16,0
2017-02-01,2017,2,13337869,8.05,35,1,14,0
2017-03-01,2017,3,12898066,11.35,26,1,16,0
2017-04-01,2017,4,10943744,11.95,24,1,19,0
2017-05-01,2017,5,10423078,17.1,22,2,42,0
2017-06-01,2017,6,9650336,21.4,20,31,81,0
2017-07-01,2017,7,9387568,21.5,21,4,45,0
2017-08-01,2017,8,8685113,20.4,24,5,29,0
2017-09-01,2017,9,9804539,16.2,52,1,17,0
2017-10-01,2017,10,10902493,14.9,48,0.5,15,0
2017-11-01,2017,11,13477374,8.6,65,0.5,15,0
2017-12-01,2017,12,15348100,6.1,56,0.5,14,0
2018-01-01,2018,1,14123224,8.25,41,1,15,0
2018-02-01,2018,2,15383969,NA,53,1,16,0
2018-03-01,2018,3,14890436,7.85,34,1,16,0
2018-04-01,2018,4,10596491,14.55,25,1,27,0
2018-05-01,2018,5,10017979,17.55,21,1,31,0
2018-06-01,2018,6,9532398,20.2,21,3,43,0
2018-07-01,2018,7,9803622,24.4,18,23,81,0
2018-08-01,2018,8,8774904,21.95,24,24,53,0
2018-09-01,2018,9,9388124,17.95,40,1,21,0
2018-10-01,2018,10,11068117,14.6,68,1,19,0
2018-11-01,2018,11,13516718,8.6,65,1,16,0
2018-12-01,2018,12,14497978,7.45,50,1,13,0
2019-01-01,2019,1,16177195,4.95,53,1,17,0
2019-02-01,2019,2,13270272,8.4,37,1,18,0
2019-03-01,2019,3,12865608,10.5,27,1,19,0
2019-04-01,2019,4,10975545,12.6,25,1,24,0
